iter	Logloss
0	0.6762870771
1	0.6612112238
2	0.6475549418
3	0.6339568176
4	0.6218054426
5	0.6102857874
6	0.5990239018
7	0.5881094094
8	0.5780689414
9	0.568611853
10	0.5598494877
11	0.5509992508
12	0.5426572794
13	0.5348786938
14	0.5281248997
15	0.5216207522
16	0.5154566881
17	0.5100245132
18	0.5040457242
19	0.4987195425
20	0.4937825156
21	0.4892184468
22	0.4844990466
23	0.4801020434
24	0.476248739
25	0.4723089483
26	0.4687393884
27	0.4651783312
28	0.4619412813
29	0.4586340712
30	0.4562810788
31	0.4533094406
32	0.4503449536
33	0.4478344616
34	0.445303823
35	0.4431214971
36	0.4410327972
37	0.4387732912
38	0.4370330644
39	0.434781071
40	0.4328267816
41	0.4309369021
42	0.429068367
43	0.4274103998
44	0.4256997408
45	0.4240639881
46	0.4226944518
47	0.4213326138
48	0.4200644859
49	0.4190032969
50	0.4176572939
51	0.4165341791
52	0.4155094529
53	0.4141751863
54	0.4130186604
55	0.4120621723
56	0.4110603765
57	0.410121861
58	0.4088389035
59	0.4079223817
60	0.4069573605
61	0.4061460274
62	0.4052665384
63	0.404367529
64	0.4037988405
65	0.4028975412
66	0.402144818
67	0.4012672592
68	0.4005962148
69	0.3999242258
70	0.3991852108
71	0.398449398
72	0.397820308
73	0.3971945565
74	0.3966554364
75	0.396023999
76	0.395518572
77	0.3948128248
78	0.3940990713
79	0.3934109641
80	0.3928257483
81	0.3922227614
82	0.3916466228
83	0.3911474664
84	0.3906384456
85	0.3902132888
86	0.3897495263
87	0.3893471516
88	0.3889625869
89	0.3885067338
90	0.3881340372
91	0.3877608571
92	0.3871940563
93	0.3867855226
94	0.3862824383
95	0.3858295755
96	0.3854384446
97	0.3851462171
98	0.3848171836
99	0.3843411932
100	0.3839160402
101	0.3835180513
102	0.383132764
103	0.3827875075
104	0.3824682442
105	0.3820825482
106	0.3817221087
107	0.381283018
108	0.3808824298
109	0.3805125422
110	0.3801023141
111	0.379741109
112	0.3794438192
113	0.3792193063
114	0.3789840283
115	0.3786142605
116	0.3783174893
117	0.3780824389
118	0.377703717
119	0.3773948821
120	0.3771542682
121	0.3767783393
122	0.3766025192
123	0.3763471779
124	0.3760960097
125	0.3758913151
126	0.3757139449
127	0.3756066555
128	0.3753956075
129	0.3751239617
130	0.3749545563
131	0.3747261373
132	0.3744690323
133	0.3741829462
134	0.3739185834
135	0.3736036695
136	0.3732888465
137	0.3730440144
138	0.3728202641
139	0.3726437589
140	0.3724703776
141	0.3722264721
142	0.3720200108
143	0.3717624654
144	0.3714996366
145	0.3712702478
146	0.371058121
147	0.3708208757
148	0.3706157387
149	0.3704071049
150	0.3701801534
151	0.3699874475
152	0.3697929576
153	0.3695519751
154	0.3693109853
155	0.3691072465
156	0.3689418309
157	0.3687659731
158	0.3685713372
159	0.3683907911
160	0.36823923
161	0.3680202661
162	0.3677712701
163	0.3675717818
164	0.3675270799
165	0.367313337
166	0.3671860619
167	0.3669653155
168	0.3668477379
169	0.3666848212
170	0.3664849475
171	0.3663463614
172	0.3662229128
173	0.3660276202
174	0.365894304
175	0.3656743778
176	0.3654864342
177	0.3652392081
178	0.3651655437
179	0.3650272522
180	0.3648463238
181	0.3647053802
182	0.3644298375
183	0.3643062609
184	0.3641886022
185	0.3640390653
186	0.3639014573
187	0.3636961275
188	0.3634244911
189	0.3632583664
190	0.3630191899
191	0.362804765
192	0.3626453068
193	0.3625449486
194	0.3624463894
195	0.3622904386
196	0.3621954001
197	0.3619839779
198	0.3618599587
199	0.3617429352
200	0.3615054874
201	0.3614530544
202	0.361311999
203	0.3611148534
204	0.3609461419
205	0.3608725243
206	0.3607011146
207	0.3605157498
208	0.3603541012
209	0.360246354
210	0.3600733716
211	0.3599545347
212	0.3598421584
213	0.3596683846
214	0.3594667893
215	0.3592943907
216	0.3591983657
217	0.3590191501
218	0.3588509122
219	0.3587169376
220	0.3585383182
221	0.3583431058
222	0.358171638
223	0.3580948183
224	0.357991415
225	0.3578700804
226	0.3577683375
227	0.3576462813
228	0.3575197579
229	0.3573491778
230	0.3572488735
231	0.3571576212
232	0.3570420362
233	0.3569137513
234	0.3567485989
235	0.3565527804
236	0.3565167934
237	0.3564235505
238	0.3563034436
239	0.356065684
240	0.3559671246
241	0.3558028525
242	0.3556086863
243	0.3554740519
244	0.355339848
245	0.3551614875
246	0.3549580913
247	0.3548375428
248	0.3547272547
249	0.3545957457
250	0.3545089253
251	0.3544123074
252	0.3543073126
253	0.3541551503
254	0.354008342
255	0.353862999
256	0.3536582971
257	0.3535993386
258	0.3535028272
259	0.3533185733
260	0.3531676586
261	0.3530287139
262	0.3528836374
263	0.3526790271
264	0.3525559694
265	0.3524059082
266	0.3523142862
267	0.3521647552
268	0.3520435531
269	0.351928508
270	0.3518013795
271	0.3517406072
272	0.3515414362
273	0.3514369981
274	0.3513347325
275	0.3512269806
276	0.3510827108
277	0.3510124509
278	0.3508920002
279	0.3507674826
280	0.3506527845
281	0.3505165918
282	0.3504329462
283	0.3503209218
284	0.3502115445
285	0.3500932603
286	0.3498920556
287	0.3497300126
288	0.3495323049
289	0.3493775651
290	0.3491991436
291	0.3490522034
292	0.3489457095
293	0.3488546055
294	0.3487493414
295	0.3486373645
296	0.3485283629
297	0.3483346502
298	0.3481915539
299	0.3480936558
300	0.3479885476
301	0.3479043959
302	0.3477595171
303	0.347590779
304	0.3474225865
305	0.3473228564
306	0.347299201
307	0.3471777127
308	0.3470812357
309	0.3469988281
310	0.3469158113
311	0.3467682062
312	0.3466878543
313	0.346579865
314	0.3464400209
315	0.3463168963
316	0.3461942763
317	0.3460768743
318	0.3460257239
319	0.3459019241
320	0.3458106036
321	0.3456640576
322	0.3454896569
323	0.3453728614
324	0.3452467465
325	0.3451575978
326	0.3450874481
327	0.3450283713
328	0.3449446137
329	0.3448576393
330	0.344749523
331	0.3446110481
332	0.3444503344
333	0.3443590093
334	0.3442518979
335	0.344121824
336	0.343956147
337	0.3437754664
338	0.3436890796
339	0.3435629255
340	0.3433883092
341	0.3432622281
342	0.3431439773
343	0.3430589947
344	0.3429879857
345	0.3428982374
346	0.3427752377
347	0.3426533089
348	0.3425213746
349	0.3423732751
350	0.3422646812
351	0.3421539983
352	0.3420555581
353	0.3419151664
354	0.3417638869
355	0.3416741033
356	0.3415977364
357	0.3415112262
358	0.3414470283
359	0.3413212904
360	0.3412458151
361	0.3411656842
362	0.3410377187
363	0.340926524
364	0.3407807799
365	0.3406829486
366	0.3405495054
367	0.3404091103
368	0.3402951395
369	0.3401662917
370	0.3400975238
371	0.3399516575
372	0.3398726361
373	0.3398141836
374	0.3397603293
375	0.339608795
376	0.3394408752
377	0.3393206078
378	0.3391610879
379	0.3390511761
380	0.3389325793
381	0.3387785013
382	0.3386726163
383	0.3385917083
384	0.3384221456
385	0.3382995907
386	0.3382226464
387	0.3381167597
388	0.3379677796
389	0.3378613881
390	0.3377551556
391	0.3376298209
392	0.3374566264
393	0.3373048138
394	0.3371895179
395	0.3370133888
396	0.3369227857
397	0.3367779575
398	0.3366777956
399	0.3366060719
400	0.3364905626
401	0.3363345384
402	0.3361921213
403	0.3361019338
404	0.3359889041
405	0.3358257968
406	0.3357328703
407	0.3356045857
408	0.3354648195
409	0.3353781238
410	0.3352679902
411	0.3351795959
412	0.3350282116
413	0.3349518326
414	0.3348562025
